HOXB6 (10 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
39	ACAT2	0.47	0.656	0.47
60492	CCDC90B	0.58	0.579	0.58
10765	KDM5B	0.44	0.67	0.44
50674	NEUROG3	-1.14	0.293	1.14
5092	PCBD1	-1.61	0.151	1.61
2139	EYA2	-0.07	0.949	0.07
TNR (46 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
7143	TNR	-5.05	0.002	5.05
3553	IL1B	0.34	0.747	0.34
3956	LGALS1	3.22	0.015	3.22
22883	CLSTN1	-0.98	0.36	0.98
7295	TXN	0.19	0.854	0.19
4015	LOX	-0.59	0.571	0.59
1435	CSF1	-0.26	0.806	0.26
3603	IL16	-2.71	0.03	2.71
4885	NPTX2	2.48	0.043	2.48
6320	CLEC11A	1.08	0.317	1.08
2335	FN1	0.01	0.993	0.01
339967	TMPRSS11A	-1.11	0.303	1.11
286256	LCN12	3.04	0.019	3.04
80070	ADAMTS20	0.84	0.432	0.84
64131	XYLT1	-0.48	0.647	0.48
176	ACAN	-0.57	0.584	0.57
63827	BCAN	0.37	0.726	0.37
6614	SIGLEC1	-0.94	0.379	0.94
7441	VPREB1	-3.68	0.008	3.68
3543	IGLL1	-1.67	0.14	1.67
94025	MUC16	-3.14	0.017	3.14
10232	MSLN	3.76	0.007	3.76
3772	KCNJ15	2.48	0.043	2.48
23467	NPTXR	0.27	0.795	0.27
9313	MMP20	-2.14	0.07	2.14
924	CD7	-0.6	0.565	0.6
4327	MMP19	1.8	0.115	1.8
9748	SLK	-1.17	0.282	1.17
7018	TF	1.42	0.2	1.42
30008	EFEMP2	0.05	0.959	0.05
6398	SECTM1	-0.95	0.374	0.95
6693	SPN	-1.47	0.187	1.47
3751	KCND2	-2.13	0.071	2.13
30820	KCNIP1	-2.13	0.071	2.13
30819	KCNIP2	-1.15	0.289	1.15
1805	DPT	0.99	0.356	0.99
3077	HFE	0.4	0.7	0.4
7356	SCGB1A1	2.59	0.037	2.59
55716	LMBR1L	1.06	0.324	1.06
3933	LCN1	-2.06	0.079	2.06
4069	LYZ	2.93	0.022	2.93
4057	LTF	0.11	0.915	0.11
1056	CEL	0.71	0.503	0.71
6480	ST6GAL1	-0.24	0.815	0.24
55600	ITLN1	0.23	0.824	0.23
4319	MMP10	-0.28	0.786	0.28
RBPMS (17 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
11030	RBPMS	4.93	0.002	4.93
84445	LZTS2	1.46	0.189	1.46
51545	ZNF581	-0.58	0.582	0.58
129807	NEU4	0.44	0.676	0.44
200523	TEX37	-1.49	0.18	1.49
84904	ARHGEF39	0.13	0.897	0.13
10922	FASTK	0.98	0.359	0.98
3219	HOXB9	-6.48	4e-04	6.48
5013	OTX1	0.2	0.844	0.2
26505	CNNM3	-0.19	0.852	0.19
5307	PITX1	1.19	0.274	1.19
55342	STRBP	0.6	0.569	0.6
2139	EYA2	-0.07	0.949	0.07
5252	PHF1	0.76	0.474	0.76
2307	FOXS1	-0.11	0.917	0.11
23583	SMUG1	1.11	0.304	1.11
51804	SIX4	0.88	0.41	0.88
EDNRA (23 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
1909	EDNRA	4.86	0.002	4.86
1908	EDN3	-1.25	0.253	1.25
1906	EDN1	0.35	0.735	0.35
57105	CYSLTR2	1.08	0.314	1.08
2767	GNA11	-0.75	0.479	0.75
6548	SLC9A1	-0.1	0.926	0.1
2870	GRK6	0.9	0.398	0.9
1281	COL3A1	-1.75	0.124	1.75
2768	GNA12	-0.17	0.873	0.17
1907	EDN2	-0.66	0.53	0.66
4312	MMP1	1.06	0.323	1.06
1910	EDNRB	-2.05	0.08	2.05
1215	CMA1	-3.33	0.013	3.33
3792	KEL	-1.09	0.312	1.09
53637	S1PR5	1.71	0.131	1.71
5118	PCOLCE	0.15	0.887	0.15
4921	DDR2	-2.25	0.059	2.25
1302	COL11A2	2.09	0.076	2.09
1301	COL11A1	0.73	0.49	0.73
780	DDR1	0.07	0.947	0.07
1889	ECE1	0.55	0.597	0.55
63928	CHP2	-0.27	0.796	0.27
133	ADM	1.38	0.212	1.38
HOXB7 (13 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
3217	HOXB7	-4.63	0.002	4.63
3216	HOXB6	11.8	8e-06	11.8
51053	GMNN	0.09	0.931	0.09
5316	PKNOX1	0.5	0.636	0.5
3235	HOXD9	4.03	0.005	4.03
3225	HOXC9	-4.01	0.005	4.01
3204	HOXA7	4.25	0.004	4.25
3866	KRT15	-0.08	0.94	0.08
5630	PRPH	1.85	0.108	1.85
51322	WAC	-0.94	0.38	0.94
3887	KRT81	1.86	0.105	1.86
112869	SGF29	-0.38	0.712	0.38
150483	TEKT4	0.2	0.844	0.2
HAND2 (18 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
9464	HAND2	4.47	0.003	4.47
23493	HEY2	0.26	0.8	0.26
401	PHOX2A	1.68	0.138	1.68
2626	GATA4	1.48	0.183	1.48
5528	PPP2R5D	1.28	0.242	1.28
3239	HOXD13	2.72	0.03	2.72
9421	HAND1	-2.63	0.034	2.63
1059	CENPB	1.4	0.205	1.4
6910	TBX5	5.69	8e-04	5.69
1482	NKX2-5	-0.8	0.45	0.8
23414	ZFPM2	-2.16	0.068	2.16
6909	TBX2	-1.07	0.32	1.07
85407	NKD1	0.47	0.654	0.47
1388	ATF6B	0.77	0.468	0.77
8720	MBTPS1	1.26	0.25	1.26
23125	CAMTA2	-0.34	0.747	0.34
2627	GATA6	-1.1	0.31	1.1
51621	KLF13	0.53	0.613	0.53
